Unnamed: 0,Age Group,Gender,Education Level,Occupation,Average Screen Time,Device,Screen Activity,App Category,Screen Time Period,Environment,Productivity,Attention Span,Work Strategy,Notification Handling,Usage of Productivity Apps
124,18–24,Female,Undergraduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Background noise/music,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, i do not use them"
125,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Background noise/music,Moderately productive,More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, they are extremely helpful"
126,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, i do not use them"
127,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
128,18–24,Female,Undergraduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,30–60 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, they are extremely helpful"
129,18–24,Male,Undergraduate,Student,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, but i did not find them of any help"
130,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,,,"Yes, but i did not find them of any help"
131,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, but i did not find them of any help"
132,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
133,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, they are extremely helpful"
134,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, but i did not find them of any help"
135,18–24,Female,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
136,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
138,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Background noise/music,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, but i did not find them of any help"
139,18–24,Female,Undergraduate,Student,2–4,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
140,18–24,Female,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, but i did not find them of any help"
141,18–24,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,,Check them briefly and resume my work,"No, i do not use them"
142,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,,Turn off notifications altogether,"No, i do not use them"
143,18–24,Male,Undergraduate,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, they are extremely helpful"
144,18–24,Male,High school or below,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, they are extremely helpful"
146,18–24,Female,High school or below,Student,6–8,Laptop/PC,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
147,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
148,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
149,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, they are extremely helpful"
150,18–24,Male,Undergraduate,Student,2–4,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, but i did not find them of any help"
151,18–24,Female,Undergraduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, i do not use them"
152,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, they are extremely helpful"
153,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, but i did not find them of any help"
154,18–24,Male,Graduate,Professional,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"No, i do not use them"
155,18–24,Male,Graduate,Professional,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Spend time interacting with the notifications,"No, i do not use them"
156,18–24,Male,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
157,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, but i did not find them of any help"
